 Total battles: 443596
 Total teams: 887192
 Total pokemon: 887192
 + ---- + ------------------ + ------ + ------- + 
 | Rank | Pokemon            | Usage  | Percent | 
 + ---- + ------------------ + ------ + ------- + 
 | 1    | Politoed           | 64555  |  7.276% |
 | 2    | Genesect           | 53083  |  5.983% |
 | 3    | Ninetales          | 36140  |  4.074% |
 | 4    | Deoxys-Defense     | 32772  |  3.694% |
 | 5    | Tyranitar          | 32745  |  3.691% |
 | 6    | Breloom            | 23225  |  2.618% |
 | 7    | Rotom-Wash         | 22795  |  2.569% |
 | 8    | Ferrothorn         | 22562  |  2.543% |
 | 9    | Forretress         | 19952  |  2.249% |
 | 10   | Ninjask            | 17919  |  2.020% |
 | 11   | Heatran            | 17225  |  1.942% |
 | 12   | Infernape          | 17019  |  1.918% |
 | 13   | Jirachi            | 14703  |  1.657% |
 | 14   | Cloyster           | 13568  |  1.529% |
 | 15   | Hippowdon          | 13390  |  1.509% |
 | 16   | Terrakion          | 13175  |  1.485% |
 | 17   | Dragonite          | 11917  |  1.343% |
 | 18   | Scizor             | 11601  |  1.308% |
 | 19   | Skarmory           | 11388  |  1.284% |
 | 20   | Mamoswine          | 11166  |  1.259% |
 | 21   | Jolteon            | 11108  |  1.252% |
 | 22   | Gengar             | 11106  |  1.252% |
 | 23   | Abomasnow          | 10916  |  1.230% |
 | 24   | Gliscor            | 10537  |  1.188% |
 | 25   | Garchomp           | 9918   |  1.118% |
 | 26   | Donphan            | 9899   |  1.116% |
 | 27   | Espeon             | 9251   |  1.043% |
 | 28   | Volcarona          | 8879   |  1.001% |
 | 29   | Smeargle           | 8808   |  0.993% |
 | 30   | Landorus-Therian   | 8522   |  0.961% |
 | 31   | Latios             | 7945   |  0.896% |
 | 32   | Sableye            | 7566   |  0.853% |
 | 33   | Tornadus-Therian   | 7377   |  0.831% |
 | 34   | Starmie            | 7020   |  0.791% |
 | 35   | Salamence          | 7004   |  0.789% |
 | 36   | Thundurus-Therian  | 6809   |  0.767% |
 | 37   | Metagross          | 6692   |  0.754% |
 | 38   | Aerodactyl         | 6641   |  0.749% |
 | 39   | Alakazam           | 6524   |  0.735% |
 | 40   | Azelf              | 6222   |  0.701% |
 | 41   | Gyarados           | 6052   |  0.682% |
 | 42   | Tentacruel         | 5940   |  0.670% |
 | 43   | Dugtrio            | 5905   |  0.666% |
 | 44   | Landorus           | 5575   |  0.628% |
 | 45   | Bronzong           | 5559   |  0.627% |
 | 46   | Machamp            | 5551   |  0.626% |
 | 47   | Kyurem-Black       | 5413   |  0.610% |
 | 48   | Hydreigon          | 5233   |  0.590% |
 | 49   | Mienshao           | 5060   |  0.570% |
 | 50   | Mew                | 4805   |  0.542% |
 | 51   | Conkeldurr         | 4692   |  0.529% |
 | 52   | Haxorus            | 4667   |  0.526% |
 | 53   | Blissey            | 4551   |  0.513% |
 | 54   | Celebi             | 4428   |  0.499% |
 | 55   | Lucario            | 4219   |  0.476% |
 | 56   | Keldeo             | 4115   |  0.464% |
 | 57   | Magnezone          | 4025   |  0.454% |
 | 58   | Victini            | 3847   |  0.434% |
 | 59   | Swampert           | 3775   |  0.425% |
 | 60   | Jellicent          | 3760   |  0.424% |
 | 61   | Vaporeon           | 3741   |  0.422% |
