 Total battles: 443979
 Total teams: 887958
 Total pokemon: 5327748
 + ---- + ------------------ + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage  | Percent | RealUse| RealPct | 
 + ---- + ------------------ + ------ + ------- + ------ + ------- + 
 | 1    | Genesect           | 183712 | 20.689% | 155200 | 21.652% | 
 | 2    | Politoed           | 144231 | 16.243% | 132634 | 18.503% | 
 | 3    | Ferrothorn         | 138834 | 15.635% | 118778 | 16.570% | 
 | 4    | Dragonite          | 137865 | 15.526% | 106796 | 14.899% | 
 | 5    | Scizor             | 132492 | 14.921% | 104015 | 14.511% | 
 | 6    | Heatran            | 130505 | 14.697% | 108294 | 15.108% | 
 | 7    | Garchomp           | 116907 | 13.166% | 88980  | 12.413% | 
 | 8    | Breloom            | 116676 | 13.140% | 92731  | 12.937% | 
 | 9    | Tyranitar          | 111361 | 12.541% | 96392  | 13.447% | 
 | 10   | Terrakion          | 102707 | 11.567% | 76246  | 10.637% | 
 | 11   | Jirachi            | 97925  | 11.028% | 80021  | 11.164% | 
 | 12   | Gengar             | 97148  | 10.941% | 76063  | 10.611% | 
 | 13   | Rotom-Wash         | 97148  | 10.941% | 84103  | 11.733% | 
 | 14   | Starmie            | 96386  | 10.855% | 74137  | 10.343% | 
 | 15   | Gliscor            | 91960  | 10.356% | 72919  | 10.173% | 
 | 16   | Salamence          | 87828  |  9.891% | 66981  |  9.344% | 
 | 17   | Latios             | 87773  |  9.885% | 68793  |  9.597% | 
 | 18   | Ninetales          | 84875  |  9.558% | 77743  | 10.846% | 
 | 19   | Cloyster           | 80782  |  9.098% | 62684  |  8.745% | 
 | 20   | Forretress         | 80185  |  9.030% | 68699  |  9.584% | 
 | 21   | Volcarona          | 75054  |  8.452% | 57780  |  8.061% | 
 | 22   | Infernape          | 74958  |  8.442% | 61125  |  8.527% | 
 | 23   | Espeon             | 73563  |  8.285% | 57398  |  8.007% | 
 | 24   | Alakazam           | 71353  |  8.036% | 54585  |  7.615% | 
 | 25   | Tentacruel         | 67042  |  7.550% | 53574  |  7.474% | 
 | 26   | Skarmory           | 62975  |  7.092% | 53645  |  7.484% | 
 | 27   | Blissey            | 62021  |  6.985% | 48770  |  6.804% | 
 | 28   | Venusaur           | 61602  |  6.937% | 47162  |  6.579% | 
 | 29   | Tornadus-Therian   | 60712  |  6.837% | 47474  |  6.623% | 
 | 30   | Mamoswine          | 60565  |  6.821% | 48251  |  6.731% | 
 | 31   | Jolteon            | 58383  |  6.575% | 46771  |  6.525% | 
 | 32   | Deoxys-Defense     | 57823  |  6.512% | 52711  |  7.354% | 
 | 33   | Jellicent          | 57680  |  6.496% | 47522  |  6.630% | 
 | 34   | Vaporeon           | 57613  |  6.488% | 45580  |  6.359% | 
 | 35   | Gyarados           | 56328  |  6.344% | 45055  |  6.286% | 
 | 36   | Lucario            | 52623  |  5.926% | 40334  |  5.627% | 
 | 37   | Thundurus-Therian  | 51569  |  5.808% | 40580  |  5.661% | 
 | 38   | Conkeldurr         | 51133  |  5.758% | 40355  |  5.630% | 
 | 39   | Landorus           | 50447  |  5.681% | 39079  |  5.452% | 
 | 40   | Keldeo             | 50184  |  5.652% | 38666  |  5.394% | 
 | 41   | Hydreigon          | 49861  |  5.615% | 38772  |  5.409% | 
 | 42   | Donphan            | 48748  |  5.490% | 40923  |  5.709% | 
 | 43   | Magnezone          | 47048  |  5.298% | 37287  |  5.202% | 
 | 44   | Latias             | 46205  |  5.204% | 35613  |  4.968% | 
 | 45   | Kyurem-Black       | 44884  |  5.055% | 34117  |  4.760% | 
 | 46   | Metagross          | 43545  |  4.904% | 35716  |  4.983% | 
 | 47   | Haxorus            | 41256  |  4.646% | 31430  |  4.385% | 
 | 48   | Dugtrio            | 40394  |  4.549% | 31941  |  4.456% | 
 | 49   | Toxicroak          | 39253  |  4.421% | 30184  |  4.211% | 
 | 50   | Landorus-Therian   | 37511  |  4.224% | 31606  |  4.409% | 
 | 51   | Reuniclus          | 36184  |  4.075% | 28095  |  3.919% | 
 | 52   | Celebi             | 35627  |  4.012% | 28487  |  3.974% | 
 | 53   | Gastrodon          | 34744  |  3.913% | 28538  |  3.981% | 
 | 54   | Chansey            | 34380  |  3.872% | 27563  |  3.845% | 
 | 55   | Hippowdon          | 31978  |  3.601% | 28649  |  3.997% | 
 | 56   | Ninjask            | 29912  |  3.369% | 27046  |  3.773% | 
 | 57   | Abomasnow          | 25809  |  2.907% | 23152  |  3.230% | 
 | 58   | Sableye            | 22314  |  2.513% | 18885  |  2.635% | 
 | 59   | Chandelure         | 22009  |  2.479% | 18089  |  2.524% | 
 | 60   | Ditto              | 21501  |  2.421% | 16554  |  2.309% | 
 | 61   | Victini            | 21459  |  2.417% | 17193  |  2.399% | 
 | 62   | Kingdra            | 20781  |  2.340% | 16201  |  2.260% | 
 | 63   | Arcanine           | 20733  |  2.335% | 16888  |  2.356% | 
 | 64   | Bronzong           | 20313  |  2.288% | 18012  |  2.513% | 
 | 65   | Togekiss           | 19492  |  2.195% | 15417  |  2.151% | 
 | 66   | Weavile            | 18691  |  2.105% | 14732  |  2.055% | 
 | 67   | Smeargle           | 18434  |  2.076% | 15708  |  2.191% | 
 | 68   | Machamp            | 18284  |  2.059% | 15302  |  2.135% | 
 | 69   | Xatu               | 17778  |  2.002% | 14597  |  2.036% | 
 | 70   | Umbreon            | 17613  |  1.984% | 12848  |  1.792% | 
 | 71   | Mew                | 16890  |  1.902% | 13887  |  1.937% | 
 | 72   | Charizard          | 16757  |  1.887% | 13471  |  1.879% | 
 | 73   | Swampert           | 16624  |  1.872% | 14192  |  1.980% | 
 | 74   | Snorlax            | 16436  |  1.851% | 13252  |  1.849% | 
 | 75   | Scrafty            | 16214  |  1.826% | 12684  |  1.770% | 
 | 76   | Darmanitan         | 14694  |  1.655% | 11723  |  1.635% | 
 | 77   | Zapdos             | 13718  |  1.545% | 11175  |  1.559% | 
 | 78   | Milotic            | 13237  |  1.491% | 10751  |  1.500% | 
 | 79   | Mienshao           | 13210  |  1.488% | 10969  |  1.530% | 
 | 80   | Heracross          | 13129  |  1.479% | 10213  |  1.425% | 
 | 81   | Slowbro            | 12805  |  1.442% | 10553  |  1.472% | 
 | 82   | Zoroark            | 12595  |  1.418% | 5413   |  0.755% | 
 | 83   | Staraptor          | 12530  |  1.411% | 10291  |  1.436% | 
 | 84   | Blastoise          | 12410  |  1.398% | 10229  |  1.427% | 
 | 85   | Aerodactyl         | 12301  |  1.385% | 10951  |  1.528% | 
 | 86   | Nidoking           | 12027  |  1.354% | 9451   |  1.318% | 
 | 87   | Porygon2           | 11155  |  1.256% | 9227   |  1.287% | 
 | 88   | Electivire         | 10895  |  1.227% | 8811   |  1.229% | 
 | 89   | Wobbuffet          | 10847  |  1.222% | 9023   |  1.259% | 
 | 90   | Azelf              | 10805  |  1.217% | 9723   |  1.356% | 
 | 91   | Whimsicott         | 10642  |  1.198% | 8563   |  1.195% | 
 | 92   | Crobat             | 10539  |  1.187% | 8747   |  1.220% | 
 | 93   | Stoutland          | 10525  |  1.185% | 7910   |  1.104% | 
 | 94   | Azumarill          | 10403  |  1.172% | 8148   |  1.137% | 
 | 95   | Froslass           | 9923   |  1.118% | 8315   |  1.160% | 
 | 96   | Amoonguss          | 9719   |  1.095% | 8102   |  1.130% | 
 | 97   | Empoleon           | 9686   |  1.091% | 8037   |  1.121% | 
 | 98   | Ludicolo           | 9388   |  1.057% | 7318   |  1.021% | 
 | 99   | Sigilyph           | 9226   |  1.039% | 7268   |  1.014% | 
 | 100  | Gothitelle         | 8885   |  1.001% | 7162   |  0.999% | 
 | 101  | Gallade            | 8853   |  0.997% | 7136   |  0.996% | 
 | 102  | Cresselia          | 8839   |  0.995% | 7196   |  1.004% | 
 | 103  | Flygon             | 8472   |  0.954% | 7013   |  0.978% | 
 | 104  | Roserade           | 8302   |  0.935% | 6845   |  0.955% | 
 | 105  | Hitmontop          | 8184   |  0.922% | 6522   |  0.910% | 
 | 106  | Kyurem             | 8168   |  0.920% | 6224   |  0.868% | 
 | 107  | Ambipom            | 8096   |  0.912% | 7169   |  1.000% | 
 | 108  | Tornadus           | 7992   |  0.900% | 6292   |  0.878% | 
 | 109  | Virizion           | 7797   |  0.878% | 6142   |  0.857% | 
 | 110  | Gorebyss           | 7790   |  0.877% | 6336   |  0.884% | 
 | 111  | Dusclops           | 7624   |  0.859% | 6310   |  0.880% | 
 | 112  | Porygon-Z          | 7489   |  0.843% | 5878   |  0.820% | 
 | 113  | Sceptile           | 7369   |  0.830% | 5870   |  0.819% | 
 | 114  | Sawsbuck           | 7270   |  0.819% | 5525   |  0.771% | 
 | 115  | Raikou             | 7251   |  0.817% | 5637   |  0.786% | 
 | 116  | Meloetta           | 7212   |  0.812% | 5651   |  0.788% | 
 | 117  | Quagsire           | 7131   |  0.803% | 5542   |  0.773% | 
 | 118  | Sharpedo           | 7025   |  0.791% | 5412   |  0.755% | 
 | 119  | Cofagrigus         | 6615   |  0.745% | 5534   |  0.772% | 
 | 120  | Rhyperior          | 6614   |  0.745% | 5038   |  0.703% | 
 | 121  | Feraligatr         | 6504   |  0.732% | 5027   |  0.701% | 
 | 122  | Sandslash          | 6498   |  0.732% | 4788   |  0.668% | 
 | 123  | Lapras             | 6420   |  0.723% | 5200   |  0.725% | 
 | 124  | Suicune            | 6351   |  0.715% | 5009   |  0.699% | 
 | 125  | Honchkrow          | 6021   |  0.678% | 4728   |  0.660% | 
 | 126  | Lilligant          | 5977   |  0.673% | 4492   |  0.627% | 
 | 127  | Mr. Mime           | 5864   |  0.660% | 3652   |  0.509% | 
 | 128  | Aggron             | 5773   |  0.650% | 4532   |  0.632% | 
 | 129  | Bisharp            | 5746   |  0.647% | 4564   |  0.637% | 
 | 130  | Rotom-Heat         | 5723   |  0.645% | 4886   |  0.682% | 
 | 131  | Exeggutor          | 5451   |  0.614% | 4115   |  0.574% | 
 | 132  | Dusknoir           | 5409   |  0.609% | 4338   |  0.605% | 
 | 133  | Typhlosion         | 5294   |  0.596% | 4167   |  0.581% | 
 | 134  | Venomoth           | 5252   |  0.591% | 4311   |  0.601% | 
 | 135  | Golurk             | 5201   |  0.586% | 4350   |  0.607% | 
 | 136  | Krookodile         | 5168   |  0.582% | 4155   |  0.580% | 
 | 137  | Galvantula         | 5143   |  0.579% | 4105   |  0.573% | 
 | 138  | Hitmonlee          | 5126   |  0.577% | 4116   |  0.574% | 
 | 139  | Victreebel         | 4947   |  0.557% | 3741   |  0.522% | 
 | 140  | Tangrowth          | 4839   |  0.545% | 3817   |  0.533% | 
 | 141  | Drapion            | 4827   |  0.544% | 3974   |  0.554% | 
 | 142  | Eelektross         | 4687   |  0.528% | 3955   |  0.552% | 
 | 143  | Leafeon            | 4687   |  0.528% | 3546   |  0.495% | 
 | 144  | Lanturn            | 4686   |  0.528% | 3958   |  0.552% | 
 | 145  | Claydol            | 4605   |  0.519% | 3839   |  0.536% | 
 | 146  | Aron               | 4536   |  0.511% | 3456   |  0.482% | 
