Metagross, Flygon, Gengar, Starmie, Heatran, Breloom
Hariyama, Bronzong, Jolteon, Tyranitar, Kingdra, Rotom-H
Jirachi, Togekiss, Lanturn, Machamp, Tyranitar, Gliscor
Aerodactyl, Rotom-H, Breloom, Forretress, Heatran, Kingdra
Swampert, Lucario, Skarmory, Blissey, Flygon, Starmie
Metagross, Scizor, Flygon, Dragonite, Vaporeon, Kingdra
Roserade, Crobat, Swampert, Infernape, Starmie, Spiritomb
Roserade, Forretress, Rotom-H, Heatran, Jirachi, Suicune
Aerodactyl, Scizor, Zapdos, Heatran, Empoleon, Snorlax
Tyranitar, Skarmory, Rotom-H, Vaporeon, Flygon, Scizor
Lucario, Scizor, Heatran, Magnezone, Skarmory, Jirachi
Swampert, Skarmory, Gyarados, Rotom-H, Flygon, Blissey
Claydol, Forretress, Blissey, Mamoswine, Gengar, Starmie
Exeggutor, Dusknoir, Cacturne, Porygon2, Claydol, Octillery
Tyranitar, Electivire, Scizor, Aerodactyl, Swampert, Togekiss
Machamp, Heatran, Rotom-W, Vaporeon, Scizor, Flygon
Persian, Electrode, Pinsir, Leafeon, Dunsparce, Wailord
Metagross, Infernape, Celebi, Kingdra, Rotom-C, Gengar
Zapdos, Starmie, Smeargle, Kingdra, Rotom-H, Infernape
Starmie, Metagross, Gyarados, Breloom, Heatran, Rotom-H
Swampert, Rotom-H, Skarmory, Blissey, Claydol, Registeel
Gallade, Jirachi, Suicune, Snorlax, Rotom-W, Dragonite
Smeargle, Infernape, Swampert, Scizor, Dragonite, Rotom-C
Abomasnow, Weavile, Mamoswine, Froslass, Cloyster, Lapras
Roserade, Starmie, Gardevoir, Houndoom, Yanmega, Blissey
Azelf, Tyranitar, Rotom-W, Scizor, Shaymin-L, Flygon
Bronzong, Celebi, Cresselia, Heatran, Exeggutor, Dugtrio
Gliscor, Snorlax, Rotom-C, Milotic, Scizor, Tyranitar
Gyarados, Electivire, Dusknoir, Blissey, Starmie, Porygon-Z
Aerodactyl, Rotom-H, Heatran, Tentacruel, Weavile, Scizor
Uxie, Jirachi, Azelf, Metagross, Weavile, Cresselia
Heatran, Flygon, Gyarados, Shaymin-L, Scizor, Rotom-W
Machamp, Heatran, Skarmory, Rotom-H, Gyarados, Shaymin-L
Skarmory, Scizor, Rotom-W, Flygon, Starmie, Heatran
Metagross, Flygon, Milotic, Celebi, Heatran, Dragonite
Dragonite, Heatran, Scizor, Breloom, Jolteon, Suicune
Metagross, Heatran, Rotom-H, Tyranitar, Breloom, Vaporeon
Heatran, Flygon, Crobat, Rotom-W, Scizor, Suicune
Metagross, Kingdra, Roserade, Machamp, Aerodactyl, Jolteon
Azelf, Dragonite, Jirachi, Infernape, Clefable, Gliscor
Heatran, Walrein, Tentacruel, Abomasnow, Gliscor, Rotom-F
Metagross, Dragonite, Kingdra, Blissey, Weezing, Skarmory
Swampert, Gyarados, Ludicolo, Lanturn, Empoleon, Kingdra
Swampert, Zapdos, Tyranitar, Celebi, Jirachi, Togekiss
Heatran, Celebi, Jirachi, Machamp, Kingdra, Zapdos
Crobat, Shiftry, Hariyama, Tangrowth, Swampert, Arcanine
Crobat, Forretress, Celebi, Heatran, Swampert, Starmie
Weavile, Scizor, Gengar, Starmie, Dragonite, Metagross
Kingdra, Aerodactyl, Roserade, Dusknoir, Heatran, Magnezone
Espeon, Cresselia, Bronzong, Rhyperior, Octillery, Machamp
Breloom, Machamp, Magnezone, Tyranitar, Slowbro, Blissey
Infernape, Heatran, Breloom, Starmie, Rotom-H, Lucario
Swampert, Heatran, Celebi, Rotom-W, Scizor, Flygon
Electrode, Donphan, Skarmory, Weavile, Spiritomb, Gyarados
Azelf, Vaporeon, Flygon, Scizor, Starmie, Lucario
Machamp, Scizor, Gyarados, Heatran, Forretress, Cresselia
Metagross, Tyranitar, Scizor, Starmie, Cresselia, Infernape
Heatran, Jirachi, Scizor, Kingdra, Rotom-W, Flygon
Infernape, Machamp, Metagross, Dragonite, Rotom-H, Gyarados
Gengar, Heatran, Gyarados, Shaymin-L, Lucario, Zapdos
Scizor, Shaymin-L, Milotic, Heatran, Kingdra, Machamp
Jirachi, Shaymin-L, Infernape, Suicune, Azelf, Gallade
Azelf, Infernape, Dragonite, Rotom-W, Lucario, Empoleon
Regirock, Shaymin-L, Slowking, Zapdos, Heatran, Dusknoir
Jirachi, Swampert, Scizor, Flygon, Roserade, Gengar
Forretress, Heatran, Milotic, Venusaur, Spiritomb, Gliscor
Togekiss, Jirachi, Snorlax, Heatran, Kingdra, Shaymin-L
Roserade, Swampert, Dragonite, Rotom-W, Infernape, Empoleon
Honchkrow, Gliscor, Empoleon, Slowbro, Zapdos, Marowak
Ninjask, Gyarados, Electivire, Metagross, Gengar, Shuckle
Azelf, Dragonite, Metagross, Tyranitar, Lucario, Scizor
Azelf, Suicune, Flygon, Infernape, Scizor, Tyranitar
Jirachi, Gyarados, Flygon, Scizor, Starmie, Heatran
Aerodactyl, Dragonite, Jirachi, Gengar, Tyranitar, Suicune
Metagross, Starmie, Kingdra, Gliscor, Rotom-H, Tyranitar
Metagross, Heatran, Celebi, Breloom, Gyarados, Blissey
Machamp, Cresselia, Swampert, Metagross, Infernape, Jirachi
Aerodactyl, Starmie, Breloom, Tyranitar, Flygon, Infernape
Crobat, Kabutops, Ludicolo, Kingdra, Bronzong, Rotom-W
Aerodactyl, Scizor, Tyranitar, Starmie, Flygon, Metagross
Jirachi, Celebi, Heatran, Suicune, Dragonite, Lucario
Yanmega, Heatran, Forretress, Scizor, Rotom-C, Heracross
Roserade, Scizor, Gyarados, Heatran, Jirachi, Rotom-H
Crobat, Rotom-W, Bronzong, Sharpedo, Starmie, Kingdra
Metagross, Blissey, Skarmory, Dusknoir, Heatran, Dragonite
Metagross, Ninjask, Swampert, Cresselia, Porygon-Z, Dusknoir
Yanmega, Gyarados, Infernape, Metagross, Flygon, Gengar
Infernape, Metagross, Zapdos, Uxie, Umbreon, Snorlax
Hippowdon, Aggron, Blissey, Gengar, Dragonite, Starmie
Jirachi, Porygon2, Slowking, Marowak, Breloom, Octillery
Metagross, Infernape, Starmie, Breloom, Yanmega, Rotom-W
